"Año","Mes","Trimestre","Llamante","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Bizkaia","Gipuzkoa","La Rioja","Ceuta","Melilla","No consta"
"Año 2007","Diciembre","Cuarto","Familiares/Personas allegadas","13.0","18.0","8.0","17.0","7.0","6.0","27.0","40.0","4.0","","14.0","18.0","17.0","16.0","13.0","12.0","5.0","3.0","5.0","4.0","9.0","1.0","1.0","9.0","","4.0","6.0","3.0","3.0","13.0","93.0","5.0","9.0","13.0","27.0","10.0","50.0","13.0","5.0","15.0","4.0","","14.0","196.0","19.0","12.0","6.0","13.0","4.0","3.0","","","9.0"
"Año 2007","Diciembre","Cuarto","Otros","","2.0","1.0","1.0","","1.0","2.0","3.0","2.0","","1.0","4.0","2.0","3.0","2.0","1.0","1.0","1.0","1.0","","","","","","","","","","","2.0","12.0","","","1.0","1.0","1.0","6.0","1.0","","5.0","","","3.0","27.0","3.0","1.0","","1.0","","","1.0","","7.0"
"Año 2008","Enero","Primero","Usuaria","77.0","87.0","43.0","96.0","61.0","60.0","158.0","237.0","15.0","5.0","77.0","88.0","119.0","142.0","113.0","84.0","16.0","23.0","63.0","21.0","24.0","13.0","9.0","37.0","15.0","38.0","49.0","15.0","23.0","84.0","515.0","42.0","31.0","69.0","193.0","37.0","224.0","66.0","68.0","88.0","21.0","25.0","79.0","1375.0","151.0","61.0","13.0","87.0","28.0","27.0","3.0","16.0","34.0"
"Año 2008","Enero","Primero","Familiares/Personas allegadas","12.0","14.0","11.0","21.0","9.0","9.0","43.0","31.0","2.0","","22.0","19.0","12.0","26.0","14.0","9.0","","2.0","6.0","","1.0","2.0","","7.0","3.0","5.0","6.0","1.0","3.0","12.0","77.0","7.0","1.0","6.0","24.0","12.0","40.0","11.0","6.0","17.0","3.0","2.0","14.0","241.0","21.0","6.0","5.0","17.0","7.0","8.0","1.0","3.0","2.0"
"Año 2008","Enero","Primero","Otros","2.0","1.0","2.0","3.0","1.0","1.0","6.0","8.0","","","1.0","3.0","2.0","5.0","1.0","1.0","","","2.0","1.0","1.0","","","1.0","","","","","4.0","2.0","7.0","3.0","","","11.0","","8.0","1.0","4.0","1.0","","","3.0","28.0","4.0","1.0","","4.0","","","","","4.0"
"Año 2008","Febrero","Primero","Usuaria","68.0","114.0","61.0","114.0","67.0","61.0","192.0","277.0","25.0","6.0","84.0","121.0","128.0","172.0","190.0","69.0","24.0","21.0","56.0","13.0","31.0","17.0","11.0","50.0","27.0","38.0","49.0","9.0","27.0","95.0","617.0","63.0","29.0","89.0","210.0","41.0","327.0","59.0","43.0","121.0","51.0","25.0","71.0","1429.0","160.0","48.0","19.0","88.0","40.0","30.0","3.0","15.0","54.0"
"Año 2008","Febrero","Primero","Familiares/Personas allegadas","11.0","27.0","16.0","23.0","6.0","8.0","31.0","46.0","","","18.0","10.0","29.0","36.0","30.0","7.0","4.0","4.0","9.0","","2.0","","","7.0","2.0","4.0","5.0","2.0","6.0","14.0","87.0","9.0","","16.0","34.0","10.0","48.0","21.0","6.0","28.0","2.0","2.0","17.0","231.0","25.0","6.0","3.0","19.0","16.0","5.0","1.0","","8.0"
"Año 2008","Febrero","Primero","Otros","","3.0","","1.0","1.0","","2.0","9.0","1.0","","","1.0","","3.0","3.0","1.0","","","","","2.0","","","","","","","1.0","","4.0","11.0","1.0","","2.0","5.0","2.0","12.0","","","2.0","","","","30.0","4.0","1.0","1.0","5.0","","","","5.0","3.0"
"Año 2008","Marzo","Primero","Usuaria","70.0","140.0","79.0","93.0","55.0","59.0","201.0","269.0","18.0","9.0","82.0","140.0","106.0","146.0","121.0","72.0","15.0","33.0","52.0","8.0","27.0","9.0","7.0","58.0","17.0","45.0","59.0","34.0","27.0","93.0","684.0","69.0","36.0","69.0","245.0","50.0","310.0","67.0","37.0","120.0","28.0","21.0","69.0","1369.0","155.0","48.0","20.0","104.0","33.0","27.0","7.0","22.0","3.0"
"Año 2008","Marzo","Primero","Familiares/Personas allegadas","18.0","28.0","19.0","25.0","8.0","14.0","39.0","50.0","4.0","3.0","25.0","16.0","25.0","32.0","29.0","10.0","4.0","4.0","15.0","8.0","3.0","","1.0","21.0","6.0","6.0","13.0","4.0","5.0","18.0","126.0","9.0","9.0","10.0","51.0","9.0","46.0","12.0","8.0","20.0","4.0","","25.0","247.0","31.0","10.0","5.0","24.0","10.0","5.0","2.0","10.0",""
"Año 2008","Marzo","Primero","Otros","2.0","1.0","","5.0","1.0","5.0","4.0","12.0","","","6.0","5.0","8.0","1.0","4.0","2.0","2.0","","1.0","","","1.0","","","","1.0","3.0","4.0","","10.0","13.0","","","2.0","4.0","","13.0","2.0","3.0","4.0","1.0","","","37.0","7.0","3.0","","4.0","","3.0","","2.0","1.0"
"Año 2008","Abril","Segundo","Usuaria","61.0","124.0","42.0","90.0","58.0","46.0","182.0","228.0","17.0","6.0","77.0","108.0","128.0","173.0","135.0","62.0","15.0","16.0","53.0","6.0","21.0","11.0","8.0","65.0","13.0","37.0","31.0","18.0","31.0","70.0","566.0","49.0","21.0","72.0","206.0","32.0","299.0","51.0","42.0","107.0","34.0","28.0","66.0","1158.0","147.0","55.0","14.0","74.0","25.0","19.0","9.0","11.0",""
"Año 2008","Abril","Segundo","Familiares/Personas allegadas","12.0","19.0","10.0","21.0","5.0","6.0","45.0","49.0","4.0","1.0","11.0","22.0","16.0","23.0","42.0","18.0","3.0","6.0","16.0","3.0","7.0","2.0","","13.0","5.0","7.0","13.0","3.0","4.0","10.0","102.0","5.0","8.0","13.0","44.0","5.0","74.0","7.0","7.0","10.0","4.0","4.0","14.0","263.0","23.0","8.0","3.0","21.0","9.0","6.0","7.0","2.0",""
"Año 2008","Abril","Segundo","Otros","4.0","2.0","","2.0","3.0","3.0","3.0","8.0","","1.0","","4.0","6.0","2.0","","2.0","1.0","1.0","5.0","1.0","","","","","","1.0","","2.0","4.0","2.0","19.0","1.0","","6.0","13.0","1.0","11.0","1.0","1.0","3.0","","1.0","4.0","41.0","4.0","1.0","","2.0","","1.0","","2.0",""
"Año 2008","Mayo","Segundo","Usuaria","53.0","103.0","47.0","110.0","31.0","44.0","153.0","230.0","10.0","5.0","63.0","86.0","108.0","160.0","134.0","49.0","12.0","17.0","48.0","11.0","38.0","7.0","7.0","59.0","14.0","18.0","28.0","15.0","35.0","79.0","550.0","50.0","23.0","69.0","182.0","40.0","284.0","65.0","52.0","93.0","45.0","24.0","78.0","1256.0","126.0","51.0","13.0","67.0","36.0","22.0","6.0","9.0",""
"Año 2008","Mayo","Segundo","Familiares/Personas allegadas","12.0","16.0","11.0","13.0","9.0","11.0","31.0","40.0","2.0","","15.0","17.0","17.0","39.0","25.0","9.0","3.0","5.0","8.0","2.0","3.0","9.0","4.0","10.0","3.0","8.0","5.0","1.0","2.0","12.0","109.0","5.0","4.0","10.0","30.0","4.0","53.0","8.0","5.0","13.0","5.0","2.0","23.0","241.0","32.0","10.0","2.0","15.0","8.0","4.0","2.0","1.0",""
"Año 2008","Mayo","Segundo","Otros","2.0","3.0","1.0","4.0","5.0","","4.0","7.0","","","2.0","3.0","6.0","1.0","7.0","2.0","","1.0","8.0","","1.0","","","3.0","","1.0","","3.0","1.0","1.0","11.0","1.0","","","13.0","2.0","6.0","1.0","4.0","4.0","","","1.0","37.0","1.0","1.0","","","1.0","1.0","","",""
"Año 2008","Junio","Segundo","Usuaria","39.0","109.0","61.0","58.0","39.0","34.0","147.0","191.0","20.0","12.0","56.0","74.0","145.0","122.0","145.0","51.0","28.0","18.0","58.0","6.0","13.0","7.0","7.0","27.0","8.0","24.0","40.0","14.0","14.0","46.0","484.0","40.0","23.0","61.0","189.0","41.0","298.0","67.0","43.0","75.0","19.0","19.0","51.0","1125.0","151.0","53.0","12.0","54.0","21.0","26.0","16.0","12.0",""
"Año 2008","Junio","Segundo","Familiares/Personas allegadas","11.0","25.0","13.0","18.0","7.0","7.0","37.0","41.0","2.0","","16.0","18.0","26.0","28.0","16.0","10.0","2.0","4.0","13.0","3.0","6.0","1.0","","12.0","3.0","3.0","9.0","2.0","3.0","13.0","113.0","12.0","4.0","17.0","48.0","17.0","68.0","15.0","11.0","18.0","2.0","1.0","11.0","242.0","32.0","16.0","3.0","17.0","5.0","5.0","1.0","2.0",""
"Año 2008","Junio","Segundo","Otros","2.0","2.0","1.0","1.0","2.0","","5.0","8.0","1.0","","3.0","2.0","3.0","8.0","5.0","3.0","","4.0","4.0","1.0","3.0","","","2.0","","2.0","1.0","1.0","","3.0","15.0","","","","6.0","1.0","7.0","2.0","2.0","1.0","","2.0","1.0","35.0","6.0","","1.0","1.0","2.0","","1.0","",""
"Año 2008","Julio","Tercero","Usuaria","57.0","124.0","80.0","112.0","53.0","61.0","170.0","182.0","11.0","10.0","74.0","82.0","119.0","152.0","99.0","73.0","17.0","24.0","35.0","13.0","23.0","17.0","8.0","66.0","19.0","25.0","42.0","16.0","22.0","72.0","509.0","69.0","22.0","70.0","210.0","52.0","270.0","82.0","35.0","88.0","42.0","27.0","85.0","1335.0","168.0","36.0","9.0","62.0","21.0","13.0","8.0","12.0",""
"Año 2008","Julio","Tercero","Familiares/Personas allegadas","18.0","32.0","9.0","31.0","7.0","10.0","49.0","61.0","3.0","1.0","11.0","22.0","28.0","49.0","32.0","7.0","","5.0","14.0","10.0","8.0","8.0","3.0","8.0","5.0","3.0","8.0","2.0","3.0","20.0","134.0","17.0","3.0","23.0","41.0","18.0","79.0","6.0","15.0","22.0","4.0","3.0","19.0","283.0","48.0","9.0","7.0","7.0","6.0","3.0","1.0","",""
"Año 2008","Julio","Tercero","Otros","2.0","6.0","6.0","3.0","","1.0","5.0","12.0","2.0","","3.0","3.0","4.0","1.0","2.0","3.0","1.0","","1.0","","","","","","1.0","2.0","4.0","","3.0","2.0","17.0","2.0","1.0","3.0","12.0","1.0","14.0","4.0","1.0","3.0","","2.0","4.0","42.0","12.0","1.0","","2.0","2.0","1.0","","1.0",""
"Año 2008","Agosto","Tercero","Usuaria","74.0","138.0","73.0","125.0","61.0","65.0","200.0","275.0","8.0","8.0","81.0","102.0","179.0","152.0","142.0","63.0","27.0","20.0","42.0","8.0","22.0","17.0","6.0","49.0","15.0","23.0","38.0","25.0","33.0","88.0","549.0","51.0","26.0","105.0","223.0","66.0","305.0","74.0","44.0","109.0","33.0","18.0","81.0","1200.0","234.0","57.0","20.0","84.0","37.0","35.0","12.0","6.0",""
"Año 2008","Agosto","Tercero","Familiares/Personas allegadas","22.0","41.0","16.0","26.0","15.0","9.0","55.0","66.0","4.0","3.0","18.0","20.0","44.0","39.0","34.0","15.0","7.0","7.0","10.0","2.0","13.0","4.0","3.0","16.0","8.0","4.0","16.0","7.0","9.0","14.0","100.0","21.0","4.0","21.0","45.0","18.0","73.0","16.0","12.0","28.0","3.0","4.0","27.0","323.0","34.0","12.0","3.0","13.0","8.0","9.0","3.0","4.0",""
"Año 2008","Agosto","Tercero","Otros","2.0","6.0","4.0","8.0","1.0","2.0","3.0","9.0","2.0","","3.0","6.0","6.0","4.0","4.0","1.0","2.0","1.0","1.0","","1.0","","","1.0","","2.0","4.0","1.0","1.0","3.0","23.0","","","8.0","12.0","2.0","14.0","3.0","2.0","4.0","1.0","2.0","2.0","45.0","5.0","2.0","","3.0","","","","",""
"Año 2008","Septiembre","Tercero","Usuaria","60.0","110.0","67.0","75.0","45.0","59.0","163.0","208.0","10.0","3.0","73.0","101.0","140.0","140.0","128.0","47.0","24.0","20.0","34.0","8.0","15.0","17.0","5.0","49.0","8.0","13.0","34.0","17.0","16.0","79.0","569.0","44.0","24.0","67.0","198.0","54.0","261.0","85.0","39.0","83.0","24.0","8.0","57.0","1142.0","194.0","44.0","22.0","76.0","19.0","27.0","9.0","15.0",""
"Año 2008","Septiembre","Tercero","Familiares/Personas allegadas","18.0","21.0","11.0","23.0","6.0","6.0","40.0","50.0","3.0","","18.0","20.0","30.0","44.0","32.0","13.0","6.0","3.0","10.0","3.0","9.0","4.0","","17.0","5.0","1.0","7.0","1.0","4.0","17.0","118.0","7.0","6.0","14.0","38.0","10.0","78.0","14.0","13.0","37.0","4.0","2.0","23.0","353.0","34.0","12.0","6.0","18.0","10.0","14.0","1.0","4.0",""
"Año 2008","Septiembre","Tercero","Otros","1.0","6.0","4.0","3.0","","1.0","4.0","7.0","2.0","","","3.0","4.0","2.0","3.0","1.0","1.0","","2.0","1.0","","","","1.0","","","1.0","1.0","1.0","2.0","17.0","1.0","","4.0","5.0","2.0","15.0","2.0","1.0","5.0","","","1.0","37.0","8.0","","","6.0","2.0","","","",""
"Año 2008","Octubre","Cuarto","Usuaria","64.0","87.0","59.0","95.0","35.0","37.0","151.0","213.0","11.0","8.0","74.0","71.0","110.0","139.0","108.0","45.0","13.0","15.0","39.0","11.0","29.0","12.0","7.0","47.0","7.0","19.0","30.0","14.0","10.0","58.0","507.0","51.0","16.0","57.0","154.0","40.0","269.0","42.0","34.0","75.0","14.0","18.0","66.0","977.0","109.0","37.0","36.0","56.0","28.0","36.0","10.0","14.0",""
"Año 2008","Octubre","Cuarto","Familiares/Personas allegadas","12.0","19.0","10.0","21.0","9.0","11.0","61.0","56.0","6.0","","23.0","13.0","32.0","37.0","22.0","13.0","6.0","11.0","14.0","1.0","9.0","3.0","2.0","15.0","4.0","3.0","9.0","","4.0","7.0","107.0","13.0","5.0","20.0","34.0","14.0","44.0","13.0","10.0","20.0","3.0","5.0","15.0","326.0","55.0","5.0","6.0","16.0","6.0","8.0","5.0","4.0",""
"Año 2008","Octubre","Cuarto","Otros","3.0","4.0","3.0","10.0","1.0","","8.0","4.0","2.0","","4.0","2.0","3.0","6.0","1.0","6.0","1.0","","4.0","1.0","","2.0","","","2.0","1.0","1.0","1.0","","2.0","17.0","1.0","1.0","2.0","9.0","1.0","10.0","","1.0","2.0","","","1.0","28.0","7.0","2.0","","","2.0","","","",""
"Año 2008","Noviembre","Cuarto","Usuaria","58.0","80.0","37.0","72.0","33.0","40.0","138.0","202.0","10.0","6.0","60.0","77.0","118.0","170.0","120.0","39.0","19.0","25.0","46.0","5.0","23.0","8.0","9.0","51.0","6.0","30.0","31.0","8.0","26.0","64.0","474.0","45.0","20.0","70.0","166.0","30.0","271.0","34.0","38.0","112.0","24.0","16.0","60.0","1077.0","132.0","40.0","17.0","54.0","24.0","27.0","5.0","14.0",""
"Año 2008","Noviembre","Cuarto","Familiares/Personas allegadas","11.0","20.0","12.0","21.0","11.0","14.0","38.0","51.0","1.0","3.0","18.0","33.0","23.0","42.0","31.0","15.0","1.0","8.0","7.0","3.0","7.0","","","9.0","1.0","4.0","6.0","3.0","12.0","13.0","115.0","8.0","1.0","15.0","35.0","8.0","54.0","17.0","16.0","14.0","3.0","5.0","11.0","301.0","31.0","16.0","10.0","29.0","11.0","3.0","10.0","",""
"Año 2008","Noviembre","Cuarto","Otros","4.0","","1.0","1.0","2.0","","6.0","9.0","","","3.0","3.0","4.0","6.0","6.0","2.0","1.0","","2.0","1.0","1.0","","1.0","1.0","","","1.0","","1.0","1.0","18.0","","1.0","2.0","9.0","1.0","12.0","1.0","1.0","6.0","1.0","2.0","1.0","36.0","7.0","2.0","1.0","6.0","","2.0","","",""
"Año 2008","Diciembre","Cuarto","Usuaria","55.0","97.0","54.0","99.0","41.0","38.0","134.0","225.0","15.0","10.0","75.0","86.0","112.0","162.0","156.0","76.0","13.0","23.0","40.0","11.0","22.0","20.0","3.0","43.0","9.0","30.0","36.0","18.0","23.0","56.0","478.0","54.0","17.0","73.0","155.0","36.0","233.0","75.0","25.0","107.0","42.0","18.0","63.0","1078.0","154.0","48.0","13.0","55.0","32.0","20.0","12.0","9.0",""
"Año 2008","Diciembre","Cuarto","Familiares/Personas allegadas","18.0","21.0","16.0","27.0","12.0","13.0","47.0","65.0","3.0","2.0","25.0","25.0","29.0","31.0","30.0","23.0","6.0","9.0","16.0","3.0","12.0","5.0","1.0","14.0","4.0","13.0","8.0","3.0","4.0","18.0","119.0","9.0","5.0","15.0","30.0","5.0","75.0","15.0","8.0","27.0","10.0","6.0","22.0","310.0","33.0","19.0","4.0","20.0","10.0","7.0","1.0","5.0",""
"Año 2008","Diciembre","Cuarto","Otros","1.0","3.0","3.0","5.0","1.0","1.0","8.0","6.0","2.0","6.0","5.0","2.0","7.0","7.0","6.0","2.0","1.0","","1.0","1.0","","1.0","","2.0","","1.0","1.0","","1.0","2.0","20.0","1.0","2.0","","13.0","","7.0","3.0","","1.0","","","1.0","29.0","6.0","1.0","1.0","2.0","","1.0","","2.0",""
"Año 2009","Enero","Primero","Usuaria","73.0","96.0","35.0","82.0","42.0","36.0","147.0","216.0","12.0","5.0","70.0","115.0","110.0","167.0","112.0","81.0","13.0","30.0","39.0","13.0","30.0","6.0","7.0","44.0","16.0","16.0","37.0","26.0","20.0","61.0","507.0","37.0","22.0","59.0","136.0","43.0","276.0","60.0","43.0","87.0","24.0","18.0","87.0","1128.0","130.0","49.0","14.0","51.0","36.0","26.0","9.0","15.0",""
"Año 2009","Enero","Primero","Familiares/Personas allegadas","13.0","22.0","11.0","20.0","12.0","18.0","33.0","42.0","7.0","4.0","21.0","24.0","30.0","40.0","27.0","11.0","1.0","7.0","8.0","3.0","12.0","1.0","2.0","13.0","7.0","5.0","5.0","3.0","3.0","17.0","130.0","7.0","11.0","12.0","35.0","10.0","45.0","8.0","2.0","33.0","12.0","11.0","31.0","329.0","44.0","18.0","2.0","26.0","10.0","8.0","1.0","6.0",""
"Año 2009","Enero","Primero","Otros","2.0","1.0","1.0","4.0","4.0","2.0","7.0","15.0","","","3.0","1.0","10.0","6.0","6.0","","","1.0","3.0","","","2.0","","1.0","","","3.0","2.0","1.0","3.0","18.0","2.0","","3.0","7.0","1.0","7.0","1.0","2.0","1.0","","1.0","","47.0","7.0","4.0","","3.0","1.0","","","",""
"Año 2009","Febrero","Primero","Usuaria","60.0","77.0","42.0","63.0","25.0","44.0","131.0","167.0","15.0","4.0","80.0","86.0","83.0","106.0","152.0","70.0","10.0","41.0","39.0","10.0","28.0","14.0","5.0","58.0","12.0","21.0","56.0","13.0","14.0","53.0","445.0","45.0","25.0","54.0","145.0","36.0","206.0","48.0","35.0","92.0","20.0","19.0","55.0","873.0","135.0","53.0","10.0","55.0","27.0","29.0","5.0","11.0",""
"Año 2009","Febrero","Primero","Familiares/Personas allegadas","14.0","25.0","9.0","13.0","6.0","19.0","28.0","47.0","3.0","","15.0","19.0","21.0","24.0","19.0","9.0","4.0","6.0","10.0","1.0","4.0","1.0","1.0","17.0","5.0","3.0","9.0","1.0","4.0","7.0","108.0","3.0","2.0","11.0","24.0","3.0","35.0","10.0","6.0","26.0","13.0","3.0","25.0","253.0","24.0","16.0","4.0","17.0","9.0","13.0","1.0","7.0",""
"Año 2009","Febrero","Primero","Otros","1.0","3.0","3.0","1.0","2.0","3.0","4.0","6.0","","","2.0","1.0","","4.0","1.0","1.0","1.0","","1.0","","4.0","1.0","","2.0","1.0","","1.0","","","3.0","17.0","","","","4.0","1.0","4.0","3.0","1.0","1.0","","","","28.0","4.0","1.0","1.0","2.0","","1.0","","",""
"Año 2009","Marzo","Primero","Usuaria","52.0","102.0","58.0","77.0","32.0","46.0","155.0","191.0","15.0","2.0","77.0","97.0","99.0","153.0","137.0","50.0","18.0","33.0","41.0","13.0","30.0","6.0","","60.0","22.0","40.0","41.0","10.0","13.0","64.0","487.0","42.0","21.0","65.0","186.0","51.0","254.0","74.0","36.0","109.0","34.0","11.0","60.0","1086.0","152.0","38.0","18.0","81.0","26.0","24.0","11.0","11.0",""
"Año 2009","Marzo","Primero","Familiares/Personas allegadas","18.0","28.0","8.0","19.0","9.0","20.0","32.0","52.0","5.0","1.0","23.0","22.0","19.0","43.0","44.0","16.0","3.0","6.0","13.0","4.0","4.0","","","18.0","7.0","7.0","11.0","3.0","3.0","23.0","95.0","8.0","3.0","18.0","49.0","11.0","49.0","20.0","8.0","17.0","5.0","4.0","18.0","300.0","48.0","12.0","5.0","24.0","12.0","5.0","1.0","4.0",""
"Año 2009","Marzo","Primero","Otros","1.0","2.0","3.0","4.0","2.0","","6.0","10.0","","","6.0","3.0","5.0","2.0","5.0","2.0","","","1.0","2.0","3.0","","","","","3.0","1.0","1.0","","3.0","17.0","","","1.0","6.0","1.0","11.0","7.0","2.0","","1.0","","1.0","39.0","6.0","3.0","","","","","","1.0",""
"Año 2009","Abril","Segundo","Usuaria","38.0","90.0","61.0","76.0","40.0","48.0","133.0","165.0","17.0","5.0","56.0","102.0","86.0","148.0","106.0","35.0","7.0","35.0","43.0","10.0","30.0","21.0","","52.0","28.0","19.0","51.0","7.0","16.0","49.0","438.0","50.0","20.0","60.0","177.0","35.0","202.0","71.0","23.0","93.0","21.0","30.0","46.0","1051.0","134.0","46.0","16.0","56.0","25.0","16.0","7.0","6.0",""
"Año 2009","Abril","Segundo","Familiares/Personas allegadas","7.0","22.0","8.0","16.0","11.0","14.0","35.0","46.0","7.0","","15.0","24.0","24.0","38.0","32.0","10.0","6.0","7.0","9.0","3.0","5.0","3.0","2.0","12.0","2.0","8.0","5.0","2.0","2.0","13.0","79.0","11.0","8.0","13.0","39.0","8.0","43.0","16.0","8.0","21.0","4.0","7.0","17.0","262.0","33.0","7.0","3.0","22.0","5.0","3.0","","1.0",""
"Año 2009","Abril","Segundo","Otros","1.0","2.0","2.0","5.0","3.0","2.0","2.0","4.0","","1.0","7.0","3.0","2.0","2.0","7.0","3.0","1.0","","1.0","","","","","1.0","","1.0","2.0","1.0","1.0","2.0","10.0","","","2.0","9.0","","12.0","1.0","","","1.0","2.0","","24.0","6.0","1.0","","","","","","",""
"Año 2009","Mayo","Segundo","Usuaria","49.0","81.0","71.0","104.0","35.0","48.0","165.0","155.0","6.0","4.0","80.0","82.0","113.0","128.0","123.0","45.0","24.0","35.0","46.0","9.0","32.0","7.0","7.0","57.0","10.0","21.0","25.0","17.0","23.0","63.0","479.0","42.0","29.0","57.0","195.0","67.0","227.0","51.0","37.0","84.0","20.0","17.0","57.0","1082.0","130.0","59.0","14.0","65.0","23.0","15.0","11.0","13.0",""
