"Año","Trimestre","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Gipuzkoa","Bizkaia","La Rioja","Ceuta","Melilla"
"Año 2015","Cuarto","537.0","900.0","453.0","904.0","412.0","365.0","1594.0","1739.0","80.0","31.0","425.0","623.0","1007.0","1043.0","1104.0","420.0","74.0","160.0","243.0","64.0","68.0","50.0","35.0","310.0","100.0","196.0","366.0","85.0","131.0","374.0","3448.0","535.0","260.0","530.0","1831.0","367.0","2500.0","380.0","250.0","452.0","122.0","117.0","563.0","4785.0","1404.0","279.0","222.0","303.0","601.0","189.0","42.0","99.0"
"Año 2016","Primero","663.0","956.0","356.0","975.0","440.0","374.0","1580.0","1683.0","65.0","41.0","508.0","645.0","1105.0","1228.0","1195.0","325.0","60.0","170.0","206.0","65.0","75.0","42.0","25.0","318.0","81.0","177.0","411.0","87.0","199.0","276.0","3463.0","520.0","292.0","448.0","1538.0","385.0","2424.0","360.0","252.0","546.0","135.0","144.0","530.0","5150.0","1522.0","364.0","221.0","297.0","715.0","166.0","47.0","67.0"
"Año 2016","Segundo","706.0","918.0","431.0","1007.0","516.0","417.0","1483.0","1976.0","75.0","42.0","702.0","674.0","1209.0","1196.0","1226.0","395.0","62.0","169.0","254.0","56.0","68.0","55.0","26.0","358.0","89.0","211.0","423.0","119.0","172.0","262.0","3627.0","509.0","249.0","494.0","1997.0","428.0","2599.0","453.0","210.0","498.0","196.0","124.0","571.0","5537.0","1610.0","339.0","255.0","324.0","674.0","178.0","50.0","100.0"
"Año 2016","Tercero","661.0","1015.0","358.0","991.0","500.0","475.0","1914.0","1889.0","89.0","65.0","746.0","788.0","1669.0","1243.0","1290.0","425.0","47.0","221.0","308.0","74.0","97.0","69.0","16.0","365.0","70.0","228.0","446.0","102.0","187.0","377.0","3854.0","559.0","274.0","574.0","2094.0","420.0","2636.0","513.0","192.0","545.0","190.0","138.0","558.0","5645.0","1550.0","414.0","222.0","361.0","567.0","180.0","46.0","145.0"
"Año 2016","Cuarto","645.0","852.0","366.0","910.0","476.0","432.0","1745.0","1702.0","58.0","43.0","728.0","640.0","1285.0","1136.0","890.0","362.0","72.0","203.0","242.0","61.0","73.0","93.0","41.0","333.0","69.0","201.0","379.0","61.0","109.0","304.0","3438.0","461.0","233.0","551.0","1867.0","399.0","2644.0","429.0","224.0","604.0","170.0","183.0","551.0","5203.0","1620.0","385.0","186.0","325.0","617.0","166.0","31.0","99.0"
"Año 2017","Primero","705.0","1009.0","412.0","975.0","557.0","444.0","2087.0","2352.0","73.0","58.0","800.0","723.0","1200.0","1214.0","955.0","433.0","90.0","177.0","258.0","106.0","189.0","100.0","26.0","282.0","87.0","190.0","366.0","108.0","115.0","453.0","3954.0","534.0","318.0","911.0","2195.0","456.0","2850.0","430.0","234.0","648.0","152.0","156.0","618.0","6467.0","1744.0","450.0","248.0","359.0","726.0","160.0","186.0","169.0"
"Año 2017","Segundo","952.0","1093.0","448.0","1085.0","626.0","505.0","2003.0","2361.0","135.0","57.0","778.0","666.0","1390.0","1173.0","965.0","469.0","75.0","233.0","279.0","96.0","156.0","76.0","43.0","343.0","88.0","192.0","380.0","76.0","135.0","507.0","4230.0","572.0","256.0","867.0","2337.0","464.0","2926.0","507.0","238.0","641.0","288.0","192.0","659.0","6872.0","2006.0","561.0","242.0","320.0","733.0","200.0","112.0","81.0"
"Año 2017","Tercero","846.0","990.0","479.0","1075.0","648.0","536.0","1825.0","2154.0","108.0","47.0","845.0","624.0","1531.0","1360.0","1079.0","570.0","80.0","212.0","258.0","106.0","166.0","85.0","27.0","393.0","79.0","221.0","327.0","89.0","149.0","551.0","4141.0","552.0","345.0","833.0","2471.0","479.0","3021.0","495.0","231.0","583.0","151.0","195.0","660.0","6705.0","2140.0","422.0","240.0","365.0","765.0","199.0","58.0","60.0"
"Año 2017","Cuarto","796.0","946.0","464.0","947.0","563.0","515.0","1939.0","2234.0","86.0","38.0","835.0","698.0","1291.0","1219.0","1038.0","436.0","55.0","223.0","229.0","96.0","155.0","69.0","41.0","377.0","55.0","217.0","368.0","80.0","159.0","420.0","3900.0","473.0","325.0","741.0","1992.0","479.0","3057.0","438.0","214.0","570.0","138.0","204.0","581.0","6915.0","1949.0","403.0","205.0","287.0","702.0","168.0","87.0","74.0"
"Año 2018","Primero","807.0","917.0","435.0","805.0","555.0","487.0","1893.0","1964.0","108.0","71.0","690.0","800.0","1170.0","1125.0","976.0","521.0","66.0","228.0","256.0","74.0","177.0","72.0","26.0","282.0","67.0","190.0","399.0","81.0","169.0","440.0","4142.0","466.0","372.0","760.0","2207.0","423.0","2735.0","426.0","184.0","471.0","130.0","177.0","476.0","6431.0","2088.0","445.0","235.0","369.0","822.0","174.0","80.0","122.0"
"Año 2018","Segundo","1236.0","1048.0","465.0","797.0","616.0","521.0","2092.0","2107.0","94.0","57.0","900.0","749.0","1287.0","1151.0","856.0","424.0","82.0","179.0","239.0","79.0","137.0","104.0","30.0","356.0","97.0","222.0","401.0","94.0","176.0","433.0","4139.0","505.0","355.0","850.0","2268.0","421.0","3060.0","427.0","195.0","742.0","169.0","189.0","625.0","6698.0","2117.0","455.0","252.0","333.0","846.0","203.0","65.0","134.0"
"Año 2018","Tercero","1183.0","1113.0","470.0","938.0","552.0","485.0","2058.0","1827.0","133.0","68.0","895.0","765.0","1539.0","1129.0","977.0","576.0","86.0","211.0","250.0","79.0","177.0","88.0","38.0","349.0","85.0","270.0","522.0","125.0","217.0","468.0","4041.0","557.0","426.0","792.0","2280.0","467.0","3321.0","406.0","188.0","714.0","195.0","213.0","662.0","6988.0","2325.0","461.0","225.0","377.0","830.0","245.0","68.0","106.0"
"Año 2018","Cuarto","1126.0","1078.0","456.0","1015.0","493.0","538.0","1935.0","1847.0","106.0","32.0","899.0","795.0","1356.0","1168.0","960.0","479.0","87.0","172.0","257.0","75.0","164.0","88.0","44.0","373.0","65.0","219.0","400.0","115.0","208.0","523.0","3921.0","633.0","376.0","763.0","2091.0","440.0","3207.0","449.0","195.0","725.0","215.0","227.0","607.0","6848.0","1720.0","526.0","228.0","373.0","750.0","217.0","67.0","87.0"
"Año 2019","Primero","1083.0","1088.0","422.0","930.0","485.0","453.0","1833.0","1889.0","100.0","51.0","968.0","742.0","1202.0","1306.0","940.0","452.0","129.0","190.0","256.0","66.0","153.0","100.0","25.0","338.0","74.0","215.0","441.0","106.0","200.0","502.0","3899.0","557.0","339.0","634.0","2217.0","426.0","2983.0","426.0","177.0","814.0","169.0","161.0","592.0","6472.0","1491.0","480.0","246.0","407.0","754.0","203.0","55.0","78.0"
"Año 2019","Segundo","902.0","1136.0","523.0","934.0","586.0","570.0","1920.0","1791.0","109.0","51.0","721.0","697.0","1407.0","1317.0","1154.0","490.0","96.0","207.0","216.0","79.0","112.0","125.0","38.0","295.0","70.0","227.0","416.0","129.0","177.0","460.0","3742.0","644.0","369.0","747.0","2247.0","412.0","3191.0","411.0","221.0","611.0","196.0","227.0","573.0","6208.0","1478.0","455.0","247.0","418.0","784.0","205.0","64.0","90.0"
