"Año","Trimestre","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Gipuzkoa","Bizkaia","La Rioja","Ceuta","Melilla"
"Año 2011","Tercero","83.0","260.0","119.0","102.0","125.0","105.0","250.0","448.0","24.0","20.0","141.0","190.0","244.0","376.0","333.0","74.0","60.0","63.0","78.0","38.0","15.0","21.0","22.0","82.0","27.0","98.0","110.0","46.0","58.0","157.0","1079.0","238.0","68.0","247.0","671.0","112.0","438.0","153.0","64.0","105.0","60.0","42.0","113.0","1487.0","441.0","68.0","61.0","87.0","103.0","65.0","10.0","0.0"
"Año 2011","Cuarto","49.0","288.0","113.0","89.0","129.0","83.0","270.0","378.0","31.0","14.0","138.0","217.0","168.0","309.0","240.0","71.0","24.0","70.0","125.0","12.0","14.0","22.0","17.0","96.0","21.0","73.0","91.0","23.0","51.0","157.0","952.0","236.0","55.0","201.0","565.0","115.0","459.0","134.0","81.0","113.0","35.0","82.0","127.0","1323.0","336.0","72.0","63.0","85.0","99.0","50.0","11.0","0.0"
"Año 2012","Primero","80.0","331.0","106.0","91.0","117.0","100.0","288.0","373.0","13.0","11.0","117.0","163.0","179.0","268.0","224.0","83.0","27.0","46.0","110.0","14.0","20.0","19.0","13.0","100.0","21.0","66.0","107.0","41.0","46.0","141.0","1004.0","204.0","59.0","206.0","437.0","125.0","456.0","124.0","82.0","104.0","53.0","80.0","136.0","1347.0","297.0","55.0","27.0","61.0","80.0","61.0","30.0","0.0"
"Año 2012","Segundo","111.0","304.0","105.0","99.0","149.0","106.0","284.0","409.0","25.0","22.0","122.0","195.0","213.0","308.0","315.0","95.0","30.0","43.0","148.0","20.0","15.0","20.0","12.0","94.0","17.0","64.0","96.0","66.0","63.0","114.0","1066.0","216.0","63.0","244.0","583.0","108.0","511.0","138.0","75.0","90.0","45.0","77.0","157.0","1416.0","286.0","69.0","62.0","74.0","106.0","65.0","22.0","2.0"
"Año 2012","Tercero","85.0","253.0","116.0","107.0","108.0","91.0","267.0","532.0","22.0","13.0","151.0","205.0","280.0","284.0","383.0","71.0","30.0","53.0","89.0","25.0","11.0","20.0","10.0","113.0","20.0","64.0","104.0","88.0","75.0","123.0","1064.0","231.0","70.0","198.0","599.0","128.0","336.0","119.0","71.0","94.0","49.0","79.0","163.0","1372.0","314.0","70.0","27.0","61.0","101.0","70.0","21.0","1.0"
"Año 2012","Cuarto","57.0","317.0","85.0","81.0","94.0","117.0","258.0","470.0","18.0","9.0","105.0","216.0","158.0","296.0","282.0","70.0","48.0","53.0","40.0","11.0","9.0","17.0","18.0","93.0","16.0","68.0","85.0","52.0","78.0","110.0","904.0","186.0","53.0","213.0","448.0","104.0","369.0","103.0","67.0","71.0","43.0","77.0","125.0","1316.0","252.0","63.0","22.0","74.0","113.0","61.0","27.0","2.0"
"Año 2013","Primero","52.0","219.0","109.0","73.0","95.0","90.0","244.0","400.0","16.0","7.0","106.0","167.0","185.0","270.0","281.0","67.0","25.0","42.0","58.0","15.0","11.0","21.0","13.0","85.0","12.0","50.0","85.0","35.0","63.0","108.0","941.0","210.0","64.0","200.0","430.0","102.0","370.0","125.0","68.0","82.0","39.0","70.0","122.0","1259.0","305.0","78.0","26.0","57.0","117.0","57.0","23.0","1.0"
"Año 2013","Segundo","131.0","247.0","111.0","95.0","98.0","74.0","284.0","522.0","27.0","13.0","118.0","176.0","167.0","244.0","304.0","85.0","27.0","47.0","55.0","15.0","19.0","24.0","16.0","98.0","11.0","100.0","103.0","91.0","88.0","94.0","896.0","194.0","49.0","124.0","465.0","108.0","460.0","121.0","73.0","110.0","54.0","87.0","127.0","1284.0","277.0","74.0","38.0","81.0","110.0","51.0","35.0","2.0"
"Año 2013","Tercero","149.0","228.0","130.0","86.0","119.0","89.0","276.0","512.0","25.0","6.0","130.0","205.0","213.0","284.0","268.0","93.0","27.0","43.0","62.0","37.0","28.0","22.0","18.0","110.0","12.0","94.0","132.0","81.0","45.0","93.0","929.0","194.0","60.0","161.0","534.0","88.0","448.0","160.0","75.0","93.0","49.0","85.0","149.0","1261.0","283.0","78.0","51.0","78.0","100.0","34.0","22.0","0.0"
"Año 2013","Cuarto","145.0","254.0","105.0","79.0","94.0","71.0","260.0","454.0","16.0","14.0","139.0","157.0","142.0","295.0","272.0","84.0","33.0","41.0","56.0","23.0","26.0","13.0","10.0","86.0","11.0","97.0","128.0","40.0","82.0","107.0","905.0","224.0","50.0","202.0","517.0","77.0","457.0","94.0","45.0","129.0","60.0","83.0","151.0","1305.0","301.0","77.0","42.0","52.0","87.0","20.0","8.0","8.0"
