Año,Trimestre,Provincia,Numero_denuncias
2009,Segundo,Illes Balears,1092
2009,Segundo,Las Palmas,1298
2009,Segundo,Santa Cruz de Tenerife,1028
2009,Segundo,Cantabria,273
2009,Segundo,Ávila,111
2009,Segundo,Burgos,164
2009,Segundo,León,285
2009,Segundo,Palencia,73
2009,Segundo,Salamanca,137
2009,Segundo,Segovia,72
2009,Segundo,Soria,58
2009,Segundo,Valladolid,476
2009,Segundo,Zamora,84
2009,Segundo,Albacete,207
2009,Segundo,Ciudad Real,274
2009,Segundo,Cuenca,116
2009,Segundo,Guadalajara,409
2009,Segundo,Toledo,412
2009,Segundo,Barcelona,2969
2009,Segundo,Girona,525
2009,Segundo,Lleida,292
2009,Segundo,Tarragona,794
2009,Segundo,Alicante/Alacant,2025
2009,Segundo,Castellón/Castelló,461
2009,Segundo,Valencia/València,2448
2009,Segundo,Badajoz,272
2009,Segundo,Cáceres,115
2009,Segundo,A Coruña,647
2009,Segundo,Lugo,175
2009,Segundo,Ourense,169
2009,Segundo,Pontevedra,596
2009,Segundo,Madrid,5427
2009,Segundo,Murcia,1595
2009,Segundo,Navarra,260
2009,Segundo,Araba/Álava,215
2009,Segundo,Gipuzkoa,295
2009,Segundo,Bizkaia,658
2009,Segundo,La Rioja,189
2009,Segundo,Ceuta,84
2009,Segundo,Melilla,97
2009,Tercero,Almería,665
2009,Tercero,Cádiz,1098
2009,Tercero,Córdoba,433
2009,Tercero,Granada,1055
2009,Tercero,Huelva,501
2009,Tercero,Jaén,451
2009,Tercero,Málaga,1347
2009,Tercero,Sevilla,1704
2009,Tercero,Huesca,101
2009,Tercero,Teruel,37
2009,Tercero,Zaragoza,682
2009,Tercero,Asturias,696
2009,Tercero,Illes Balears,1203
2009,Tercero,Las Palmas,1309
2009,Tercero,Santa Cruz de Tenerife,972
2009,Tercero,Cantabria,326
2009,Tercero,Ávila,114
2009,Tercero,Burgos,202
2009,Tercero,León,142
2009,Tercero,Palencia,64
2009,Tercero,Salamanca,150
2009,Tercero,Segovia,77
2009,Tercero,Soria,38
2009,Tercero,Valladolid,268
2009,Tercero,Zamora,73
2009,Tercero,Albacete,269
2009,Tercero,Ciudad Real,296
2009,Tercero,Cuenca,99
2009,Tercero,Guadalajara,245
2009,Tercero,Toledo,441
2009,Tercero,Barcelona,3147
2009,Tercero,Girona,575
2009,Tercero,Lleida,299
2009,Tercero,Tarragona,707
2009,Tercero,Alicante/Alacant,2024
2009,Tercero,Castellón/Castelló,484
2009,Tercero,Valencia/València,2546
2009,Tercero,Badajoz,301
2009,Tercero,Cáceres,156
2009,Tercero,A Coruña,637
2009,Tercero,Lugo,170
2009,Tercero,Ourense,127
2009,Tercero,Pontevedra,659
2009,Tercero,Madrid,5013
2009,Tercero,Murcia,1574
2009,Tercero,Navarra,383
2009,Tercero,Araba/Álava,140
2009,Tercero,Gipuzkoa,263
2009,Tercero,Bizkaia,558
2009,Tercero,La Rioja,239
2009,Tercero,Ceuta,112
2009,Tercero,Melilla,98
2009,Cuarto,Almería,545
2009,Cuarto,Cádiz,860
2009,Cuarto,Córdoba,200
2009,Cuarto,Granada,774
2009,Cuarto,Huelva,407
2009,Cuarto,Jaén,345
2009,Cuarto,Málaga,1025
2009,Cuarto,Sevilla,1360
2009,Cuarto,Huesca,85
2009,Cuarto,Teruel,36
2009,Cuarto,Zaragoza,470
2009,Cuarto,Asturias,505
2009,Cuarto,Illes Balears,1016
2009,Cuarto,Las Palmas,1334
2009,Cuarto,Santa Cruz de Tenerife,946
2009,Cuarto,Cantabria,293
2009,Cuarto,Ávila,87
2009,Cuarto,Burgos,198
2009,Cuarto,León,173
2009,Cuarto,Palencia,67
2009,Cuarto,Salamanca,130
2009,Cuarto,Segovia,60
2009,Cuarto,Soria,32
2009,Cuarto,Valladolid,232
2009,Cuarto,Zamora,66
2009,Cuarto,Albacete,237
2009,Cuarto,Ciudad Real,245
2009,Cuarto,Cuenca,92
2009,Cuarto,Guadalajara,381
2009,Cuarto,Toledo,369
2009,Cuarto,Barcelona,3152
2009,Cuarto,Girona,488
2009,Cuarto,Lleida,248
2009,Cuarto,Tarragona,634
2009,Cuarto,Alicante/Alacant,1813
2009,Cuarto,Castellón/Castelló,380
2009,Cuarto,Valencia/València,2404
2009,Cuarto,Badajoz,288
2009,Cuarto,Cáceres,101
2009,Cuarto,A Coruña,588
2009,Cuarto,Lugo,101
2009,Cuarto,Ourense,125
2009,Cuarto,Pontevedra,652
2009,Cuarto,Madrid,4994
2009,Cuarto,Murcia,1528
2009,Cuarto,Navarra,335
2009,Cuarto,Araba/Álava,194
2009,Cuarto,Gipuzkoa,204
2009,Cuarto,Bizkaia,503
2009,Cuarto,La Rioja,174
2009,Cuarto,Ceuta,74
2009,Cuarto,Melilla,81
2010,Primero,Almería,638
2010,Primero,Cádiz,810
2010,Primero,Córdoba,256
2010,Primero,Granada,908
2010,Primero,Huelva,430
2010,Primero,Jaén,332
2010,Primero,Málaga,1320
2010,Primero,Sevilla,1578
2010,Primero,Huesca,76
2010,Primero,Teruel,43
2010,Primero,Zaragoza,429
2010,Primero,Asturias,554
2010,Primero,Illes Balears,991
2010,Primero,Las Palmas,1299
2010,Primero,Santa Cruz de Tenerife,888
2010,Primero,Cantabria,301
2010,Primero,Ávila,122
2010,Primero,Burgos,186
2010,Primero,León,241
2010,Primero,Palencia,73
2010,Primero,Salamanca,126
2010,Primero,Segovia,45
2010,Primero,Soria,31
2010,Primero,Valladolid,242
2010,Primero,Zamora,64
2010,Primero,Albacete,199
2010,Primero,Ciudad Real,274
2010,Primero,Cuenca,100
2010,Primero,Guadalajara,405
2010,Primero,Toledo,406
2010,Primero,Barcelona,3140
2010,Primero,Girona,499
2010,Primero,Lleida,203
2010,Primero,Tarragona,700
2010,Primero,Alicante/Alacant,1614
2010,Primero,Castellón/Castelló,422
2010,Primero,Valencia/València,2537
2010,Primero,Badajoz,289
2010,Primero,Cáceres,172
2010,Primero,A Coruña,551
2010,Primero,Lugo,121
2010,Primero,Ourense,142
2010,Primero,Pontevedra,611
2010,Primero,Madrid,5061
2010,Primero,Murcia,1443
2010,Primero,Navarra,357
2010,Primero,Araba/Álava,180
2010,Primero,Gipuzkoa,248
2010,Primero,Bizkaia,528
2010,Primero,La Rioja,129
2010,Primero,Ceuta,80
2010,Primero,Melilla,102
2010,Segundo,Almería,680
2010,Segundo,Cádiz,960
2010,Segundo,Córdoba,282
2010,Segundo,Granada,944
2010,Segundo,Huelva,465
2010,Segundo,Jaén,398
2010,Segundo,Málaga,1549
2010,Segundo,Sevilla,1718
2010,Segundo,Huesca,96
2010,Segundo,Teruel,46
2010,Segundo,Zaragoza,540
2010,Segundo,Asturias,493
2010,Segundo,Illes Balears,1138
2010,Segundo,Las Palmas,1123
2010,Segundo,Santa Cruz de Tenerife,859
2010,Segundo,Cantabria,321
2010,Segundo,Ávila,114
2010,Segundo,Burgos,159
2010,Segundo,León,158
2010,Segundo,Palencia,83
2010,Segundo,Salamanca,133
2010,Segundo,Segovia,57
2010,Segundo,Soria,28
2010,Segundo,Valladolid,274
2010,Segundo,Zamora,58
2010,Segundo,Albacete,267
2010,Segundo,Ciudad Real,307
2010,Segundo,Cuenca,112
2010,Segundo,Guadalajara,369
2010,Segundo,Toledo,386
2010,Segundo,Barcelona,3231
2010,Segundo,Girona,548
2010,Segundo,Lleida,245
2010,Segundo,Tarragona,771
2010,Segundo,Alicante/Alacant,1754
2010,Segundo,Castellón/Castelló,477
2010,Segundo,Valencia/València,2621
2010,Segundo,Badajoz,361
2010,Segundo,Cáceres,140
2010,Segundo,A Coruña,432
2010,Segundo,Lugo,127
2010,Segundo,Ourense,137
2010,Segundo,Pontevedra,581
2010,Segundo,Madrid,5661
2010,Segundo,Murcia,1430
2010,Segundo,Navarra,364
2010,Segundo,Araba/Álava,189
2010,Segundo,Gipuzkoa,258
2010,Segundo,Bizkaia,482
2010,Segundo,La Rioja,152
2010,Segundo,Ceuta,73
2010,Segundo,Melilla,105
2010,Tercero,Almería,780
2010,Tercero,Cádiz,1039
2010,Tercero,Córdoba,264
2010,Tercero,Granada,929
2010,Tercero,Huelva,414
2010,Tercero,Jaén,435
2010,Tercero,Málaga,1324
2010,Tercero,Sevilla,1918
2010,Tercero,Huesca,93
2010,Tercero,Teruel,65
2010,Tercero,Zaragoza,583
2010,Tercero,Asturias,594
2010,Tercero,Illes Balears,1200
2010,Tercero,Las Palmas,1176
2010,Tercero,Santa Cruz de Tenerife,932
2010,Tercero,Cantabria,344
2010,Tercero,Ávila,100
2010,Tercero,Burgos,161
2010,Tercero,León,239
2010,Tercero,Palencia,75
2010,Tercero,Salamanca,136
2010,Tercero,Segovia,76
2010,Tercero,Soria,39
2010,Tercero,Valladolid,272
2010,Tercero,Zamora,74
2010,Tercero,Albacete,225
2010,Tercero,Ciudad Real,345
2010,Tercero,Cuenca,117
2010,Tercero,Guadalajara,376
2010,Tercero,Toledo,407
2010,Tercero,Barcelona,3436
2010,Tercero,Girona,635
2010,Tercero,Lleida,268
2010,Tercero,Tarragona,817
2010,Tercero,Alicante/Alacant,2113
2010,Tercero,Castellón/Castelló,581
2010,Tercero,Valencia/València,2672
2010,Tercero,Badajoz,265
2010,Tercero,Cáceres,188
2010,Tercero,A Coruña,538
2010,Tercero,Lugo,146
2010,Tercero,Ourense,261
2010,Tercero,Pontevedra,493
2010,Tercero,Madrid,5547
2010,Tercero,Murcia,1416
2010,Tercero,Navarra,402
2010,Tercero,Araba/Álava,205
2010,Tercero,Gipuzkoa,285
2010,Tercero,Bizkaia,459
2010,Tercero,La Rioja,203
2010,Tercero,Ceuta,67
2010,Tercero,Melilla,82
2010,Cuarto,Almería,654
2010,Cuarto,Cádiz,994
2010,Cuarto,Córdoba,224
2010,Cuarto,Granada,902
2010,Cuarto,Huelva,403
2010,Cuarto,Jaén,366
2010,Cuarto,Málaga,1324
2010,Cuarto,Sevilla,1809
2010,Cuarto,Huesca,69
2010,Cuarto,Teruel,29
2010,Cuarto,Zaragoza,504
2010,Cuarto,Asturias,506
2010,Cuarto,Illes Balears,902
2010,Cuarto,Las Palmas,1131
2010,Cuarto,Santa Cruz de Tenerife,918
2010,Cuarto,Cantabria,265
2010,Cuarto,Ávila,109
2010,Cuarto,Burgos,147
2010,Cuarto,León,180
2010,Cuarto,Palencia,84
2010,Cuarto,Salamanca,109
2010,Cuarto,Segovia,53
2010,Cuarto,Soria,39
2010,Cuarto,Valladolid,267
2010,Cuarto,Zamora,73
2010,Cuarto,Albacete,251
2010,Cuarto,Ciudad Real,245
2010,Cuarto,Cuenca,118
2010,Cuarto,Guadalajara,402
2010,Cuarto,Toledo,354
2010,Cuarto,Barcelona,2975
2010,Cuarto,Girona,493
2010,Cuarto,Lleida,209
2010,Cuarto,Tarragona,696
2010,Cuarto,Alicante/Alacant,1665
2010,Cuarto,Castellón/Castelló,428
2010,Cuarto,Valencia/València,2485
2010,Cuarto,Badajoz,222
2010,Cuarto,Cáceres,141
2010,Cuarto,A Coruña,476
2010,Cuarto,Lugo,108
2010,Cuarto,Ourense,145
2010,Cuarto,Pontevedra,401
2010,Cuarto,Madrid,4926
2010,Cuarto,Murcia,1224
2010,Cuarto,Navarra,347
2010,Cuarto,Araba/Álava,189
2010,Cuarto,Gipuzkoa,234
2010,Cuarto,Bizkaia,434
2010,Cuarto,La Rioja,176
2010,Cuarto,Ceuta,53
2010,Cuarto,Melilla,84
2011,Primero,Almería,677
2011,Primero,Cádiz,862
2011,Primero,Córdoba,402
2011,Primero,Granada,894
2011,Primero,Huelva,393
2011,Primero,Jaén,378
2011,Primero,Málaga,1263
2011,Primero,Sevilla,1848
2011,Primero,Huesca,103
2011,Primero,Teruel,43
2011,Primero,Zaragoza,619
2011,Primero,Asturias,610
2011,Primero,Illes Balears,1032
2011,Primero,Las Palmas,1088
2011,Primero,Santa Cruz de Tenerife,859
2011,Primero,Cantabria,262
2011,Primero,Ávila,104
2011,Primero,Burgos,183
2011,Primero,León,216
2011,Primero,Palencia,88
2011,Primero,Salamanca,120
2011,Primero,Segovia,46
2011,Primero,Soria,38
2011,Primero,Valladolid,345
2011,Primero,Zamora,62
2011,Primero,Albacete,191
2011,Primero,Ciudad Real,288
2011,Primero,Cuenca,139
2011,Primero,Guadalajara,394
2011,Primero,Toledo,313
2011,Primero,Barcelona,2939
2011,Primero,Girona,504
2011,Primero,Lleida,201
2011,Primero,Tarragona,652
2011,Primero,Alicante/Alacant,1784
2011,Primero,Castellón/Castelló,395
2011,Primero,Valencia/València,2443
2011,Primero,Badajoz,284
2011,Primero,Cáceres,158
2011,Primero,A Coruña,505
2011,Primero,Lugo,158
2011,Primero,Ourense,158
2011,Primero,Pontevedra,542
2011,Primero,Madrid,4913
2011,Primero,Murcia,1334
2011,Primero,Navarra,344
2011,Primero,Araba/Álava,172
2011,Primero,Gipuzkoa,290
2011,Primero,Bizkaia,505
2011,Primero,La Rioja,177
2011,Primero,Ceuta,103
2011,Primero,Melilla,71
2011,Segundo,Almería,665
2011,Segundo,Cádiz,813
2011,Segundo,Córdoba,292
2011,Segundo,Granada,868
2011,Segundo,Huelva,409
2011,Segundo,Jaén,339
2011,Segundo,Málaga,1543
2011,Segundo,Sevilla,2140
2011,Segundo,Huesca,121
2011,Segundo,Teruel,56
2011,Segundo,Zaragoza,679
2011,Segundo,Asturias,678
2011,Segundo,Illes Balears,1071
2011,Segundo,Las Palmas,1231
2011,Segundo,Santa Cruz de Tenerife,906
2011,Segundo,Cantabria,290
2011,Segundo,Ávila,68
2011,Segundo,Burgos,159
2011,Segundo,León,214
2011,Segundo,Palencia,69
2011,Segundo,Salamanca,124
2011,Segundo,Segovia,49
2011,Segundo,Soria,34
2011,Segundo,Valladolid,357
2011,Segundo,Zamora,74
2011,Segundo,Albacete,211
2011,Segundo,Ciudad Real,344
2011,Segundo,Cuenca,146
2011,Segundo,Guadalajara,177
2011,Segundo,Toledo,378
2011,Segundo,Barcelona,3079
2011,Segundo,Girona,532
2011,Segundo,Lleida,245
2011,Segundo,Tarragona,617
2011,Segundo,Alicante/Alacant,1869
2011,Segundo,Castellón/Castelló,385
2011,Segundo,Valencia/València,2488
2011,Segundo,Badajoz,384
2011,Segundo,Cáceres,131
2011,Segundo,A Coruña,573
2011,Segundo,Lugo,139
2011,Segundo,Ourense,123
2011,Segundo,Pontevedra,515
2011,Segundo,Madrid,5443
2011,Segundo,Murcia,1546
2011,Segundo,Navarra,375
2011,Segundo,Araba/Álava,223
2011,Segundo,Gipuzkoa,313
2011,Segundo,Bizkaia,511
2011,Segundo,La Rioja,183
2011,Segundo,Ceuta,78
2011,Segundo,Melilla,90
2011,Tercero,Almería,530
2011,Tercero,Cádiz,924
2011,Tercero,Córdoba,272
2011,Tercero,Granada,896
2011,Tercero,Huelva,321
2011,Tercero,Jaén,385
2011,Tercero,Málaga,1702
2011,Tercero,Sevilla,2025
2011,Tercero,Huesca,86
2011,Tercero,Teruel,35
2011,Tercero,Zaragoza,792
2011,Tercero,Asturias,697
2011,Tercero,Illes Balears,1190
2011,Tercero,Las Palmas,1215
2011,Tercero,Santa Cruz de Tenerife,1025
2011,Tercero,Cantabria,313
2011,Tercero,Ávila,88
2011,Tercero,Burgos,176
2011,Tercero,León,216
2011,Tercero,Palencia,71
2011,Tercero,Salamanca,129
2011,Tercero,Segovia,66
2011,Tercero,Soria,29
2011,Tercero,Valladolid,400
2011,Tercero,Zamora,88
2011,Tercero,Albacete,265
2011,Tercero,Ciudad Real,324
2011,Tercero,Cuenca,147
2011,Tercero,Guadalajara,191
2011,Tercero,Toledo,349
2011,Tercero,Barcelona,3655
2011,Tercero,Girona,547
2011,Tercero,Lleida,261
2011,Tercero,Tarragona,737
2011,Tercero,Alicante/Alacant,2001
2011,Tercero,Castellón/Castelló,452
2011,Tercero,Valencia/València,2378
2011,Tercero,Badajoz,382
2011,Tercero,Cáceres,157
2011,Tercero,A Coruña,395
2011,Tercero,Lugo,139
2011,Tercero,Ourense,145
2011,Tercero,Pontevedra,620
2011,Tercero,Madrid,5324
2011,Tercero,Murcia,1575
2011,Tercero,Navarra,407
2011,Tercero,Araba/Álava,210
2011,Tercero,Gipuzkoa,280
2011,Tercero,Bizkaia,464
2011,Tercero,La Rioja,173
2011,Tercero,Ceuta,89
2011,Tercero,Melilla,84
2011,Cuarto,Almería,485
2011,Cuarto,Cádiz,828
2011,Cuarto,Córdoba,258
2011,Cuarto,Granada,689
2011,Cuarto,Huelva,343
2011,Cuarto,Jaén,320
2011,Cuarto,Málaga,1473
2011,Cuarto,Sevilla,1813
2011,Cuarto,Huesca,68
2011,Cuarto,Teruel,35
2011,Cuarto,Zaragoza,755
2011,Cuarto,Asturias,671
2011,Cuarto,Illes Balears,1124
2011,Cuarto,Las Palmas,1000
2011,Cuarto,Santa Cruz de Tenerife,725
2011,Cuarto,Cantabria,303
2011,Cuarto,Ávila,72
2011,Cuarto,Burgos,158
2011,Cuarto,León,201
2011,Cuarto,Palencia,62
2011,Cuarto,Salamanca,96
2011,Cuarto,Segovia,48
2011,Cuarto,Soria,27
2011,Cuarto,Valladolid,391
2011,Cuarto,Zamora,94
2011,Cuarto,Albacete,217
2011,Cuarto,Ciudad Real,187
2011,Cuarto,Cuenca,175
2011,Cuarto,Guadalajara,217
2011,Cuarto,Toledo,257
2011,Cuarto,Barcelona,3188
2011,Cuarto,Girona,507
2011,Cuarto,Lleida,197
2011,Cuarto,Tarragona,614
2011,Cuarto,Alicante/Alacant,1633
2011,Cuarto,Castellón/Castelló,412
2011,Cuarto,Valencia/València,2300
2011,Cuarto,Badajoz,334
2011,Cuarto,Cáceres,165
2011,Cuarto,A Coruña,402
2011,Cuarto,Lugo,123
2011,Cuarto,Ourense,114
2011,Cuarto,Pontevedra,502
2011,Cuarto,Madrid,5028
2011,Cuarto,Murcia,1311
2011,Cuarto,Navarra,323
2011,Cuarto,Araba/Álava,203
2011,Cuarto,Gipuzkoa,278
2011,Cuarto,Bizkaia,676
2011,Cuarto,La Rioja,177
2011,Cuarto,Ceuta,84
2011,Cuarto,Melilla,78
2012,Primero,Almería,505
2012,Primero,Cádiz,888
2012,Primero,Córdoba,197
2012,Primero,Granada,901
2012,Primero,Huelva,399
2012,Primero,Jaén,355
2012,Primero,Málaga,1492
2012,Primero,Sevilla,1476
2012,Primero,Huesca,75
2012,Primero,Teruel,30
2012,Primero,Zaragoza,723
2012,Primero,Asturias,605
2012,Primero,Illes Balears,1050
2012,Primero,Las Palmas,1081
2012,Primero,Santa Cruz de Tenerife,728
2012,Primero,Cantabria,271
2012,Primero,Ávila,85
2012,Primero,Burgos,140
2012,Primero,León,201
2012,Primero,Palencia,61
2012,Primero,Salamanca,102
2012,Primero,Segovia,66
2012,Primero,Soria,29
2012,Primero,Valladolid,325
2012,Primero,Zamora,71
2012,Primero,Albacete,187
2012,Primero,Ciudad Real,322
2012,Primero,Cuenca,103
2012,Primero,Guadalajara,136
2012,Primero,Toledo,319
2012,Primero,Barcelona,2924
2012,Primero,Girona,576
2012,Primero,Lleida,224
2012,Primero,Tarragona,541
2012,Primero,Alicante/Alacant,1597
2012,Primero,Castellón/Castelló,426
2012,Primero,Valencia/València,2044
2012,Primero,Badajoz,282
2012,Primero,Cáceres,165
2012,Primero,A Coruña,346
2012,Primero,Lugo,131
2012,Primero,Ourense,119
2012,Primero,Pontevedra,586
2012,Primero,Madrid,5237
2012,Primero,Murcia,1161
2012,Primero,Navarra,327
2012,Primero,Araba/Álava,177
2012,Primero,Gipuzkoa,259
2012,Primero,Bizkaia,486
2012,Primero,La Rioja,187
2012,Primero,Ceuta,105
2012,Primero,Melilla,72
2012,Segundo,Almería,590
2012,Segundo,Cádiz,772
2012,Segundo,Córdoba,227
2012,Segundo,Granada,808
2012,Segundo,Huelva,378
2012,Segundo,Jaén,354
2012,Segundo,Málaga,1620
2012,Segundo,Sevilla,1772
2012,Segundo,Huesca,72
2012,Segundo,Teruel,29
2012,Segundo,Zaragoza,697
2012,Segundo,Asturias,564
2012,Segundo,Illes Balears,1249
2012,Segundo,Las Palmas,1055
2012,Segundo,Santa Cruz de Tenerife,815
2012,Segundo,Cantabria,296
2012,Segundo,Ávila,73
2012,Segundo,Burgos,162
2012,Segundo,León,201
2012,Segundo,Palencia,56
2012,Segundo,Salamanca,113
2012,Segundo,Segovia,54
2012,Segundo,Soria,25
2012,Segundo,Valladolid,327
2012,Segundo,Zamora,75
2012,Segundo,Albacete,153
2012,Segundo,Ciudad Real,302
2012,Segundo,Cuenca,120
2012,Segundo,Guadalajara,198
2012,Segundo,Toledo,341
2012,Segundo,Barcelona,3095
2012,Segundo,Girona,538
2012,Segundo,Lleida,249
2012,Segundo,Tarragona,690
2012,Segundo,Alicante/Alacant,1950
2012,Segundo,Castellón/Castelló,420
2012,Segundo,Valencia/València,2369
2012,Segundo,Badajoz,346
2012,Segundo,Cáceres,152
2012,Segundo,A Coruña,395
2012,Segundo,Lugo,140
2012,Segundo,Ourense,101
2012,Segundo,Pontevedra,534
2012,Segundo,Madrid,5409
2012,Segundo,Murcia,1213
2012,Segundo,Navarra,333
2012,Segundo,Araba/Álava,130
2012,Segundo,Gipuzkoa,222
2012,Segundo,Bizkaia,591
2012,Segundo,La Rioja,174
2012,Segundo,Ceuta,90
2012,Segundo,Melilla,65
2012,Tercero,Almería,559
2012,Tercero,Cádiz,876
2012,Tercero,Córdoba,391
2012,Tercero,Granada,885
2012,Tercero,Huelva,421
2012,Tercero,Jaén,364
2012,Tercero,Málaga,1621
2012,Tercero,Sevilla,1783
2012,Tercero,Huesca,87
2012,Tercero,Teruel,29
2012,Tercero,Zaragoza,671
2012,Tercero,Asturias,634
2012,Tercero,Illes Balears,1344
2012,Tercero,Las Palmas,1077
2012,Tercero,Santa Cruz de Tenerife,1107
2012,Tercero,Cantabria,265
2012,Tercero,Ávila,99
2012,Tercero,Burgos,173
2012,Tercero,León,178
2012,Tercero,Palencia,71
2012,Tercero,Salamanca,98
2012,Tercero,Segovia,53
2012,Tercero,Soria,22
2012,Tercero,Valladolid,254
2012,Tercero,Zamora,77
2012,Tercero,Albacete,198
2012,Tercero,Ciudad Real,250
2012,Tercero,Cuenca,196
2012,Tercero,Guadalajara,186
2012,Tercero,Toledo,359
2012,Tercero,Barcelona,3372
2012,Tercero,Girona,541
2012,Tercero,Lleida,264
2012,Tercero,Tarragona,576
2012,Tercero,Alicante/Alacant,1939
2012,Tercero,Castellón/Castelló,449
2012,Tercero,Valencia/València,2266
2012,Tercero,Badajoz,383
2012,Tercero,Cáceres,141
2012,Tercero,A Coruña,474
2012,Tercero,Lugo,116
2012,Tercero,Ourense,123
2012,Tercero,Pontevedra,602
2012,Tercero,Madrid,5187
2012,Tercero,Murcia,1307
2012,Tercero,Navarra,380
2012,Tercero,Araba/Álava,226
2012,Tercero,Gipuzkoa,240
2012,Tercero,Bizkaia,582
2012,Tercero,La Rioja,176
2012,Tercero,Ceuta,74
2012,Tercero,Melilla,68
2012,Cuarto,Almería,469
2012,Cuarto,Cádiz,926
2012,Cuarto,Córdoba,359
2012,Cuarto,Granada,853
2012,Cuarto,Huelva,423
2012,Cuarto,Jaén,388
2012,Cuarto,Málaga,1589
2012,Cuarto,Sevilla,1550
2012,Cuarto,Huesca,74
2012,Cuarto,Teruel,39
2012,Cuarto,Zaragoza,702
2012,Cuarto,Asturias,628
2012,Cuarto,Illes Balears,1096
2012,Cuarto,Las Palmas,1017
2012,Cuarto,Santa Cruz de Tenerife,821
2012,Cuarto,Cantabria,274
2012,Cuarto,Ávila,59
2012,Cuarto,Burgos,149
2012,Cuarto,León,125
2012,Cuarto,Palencia,62
2012,Cuarto,Salamanca,106
2012,Cuarto,Segovia,73
2012,Cuarto,Soria,37
2012,Cuarto,Valladolid,249
2012,Cuarto,Zamora,81
2012,Cuarto,Albacete,166
2012,Cuarto,Ciudad Real,264
2012,Cuarto,Cuenca,73
2012,Cuarto,Guadalajara,195
2012,Cuarto,Toledo,243
2012,Cuarto,Barcelona,2921
2012,Cuarto,Girona,480
2012,Cuarto,Lleida,244
2012,Cuarto,Tarragona,542
2012,Cuarto,Alicante/Alacant,1760
2012,Cuarto,Castellón/Castelló,435
2012,Cuarto,Valencia/València,2175
2012,Cuarto,Badajoz,332
2012,Cuarto,Cáceres,166
2012,Cuarto,A Coruña,418
2012,Cuarto,Lugo,92
2012,Cuarto,Ourense,123
2012,Cuarto,Pontevedra,488
2012,Cuarto,Madrid,5102
2012,Cuarto,Murcia,1115
2012,Cuarto,Navarra,293
2012,Cuarto,Araba/Álava,201
2012,Cuarto,Gipuzkoa,254
2012,Cuarto,Bizkaia,485
2012,Cuarto,La Rioja,164
2012,Cuarto,Ceuta,72
2012,Cuarto,Melilla,112
2013,Primero,Almería,382
2013,Primero,Cádiz,896
2013,Primero,Córdoba,421
2013,Primero,Granada,813
2013,Primero,Huelva,304
2013,Primero,Jaén,375
2013,Primero,Málaga,1373
2013,Primero,Sevilla,1542
2013,Primero,Huesca,79
2013,Primero,Teruel,30
2013,Primero,Zaragoza,568
2013,Primero,Asturias,641
2013,Primero,Illes Balears,911
2013,Primero,Las Palmas,944
2013,Primero,Santa Cruz de Tenerife,783
2013,Primero,Cantabria,285
2013,Primero,Ávila,55
2013,Primero,Burgos,165
2013,Primero,León,167
2013,Primero,Palencia,71
2013,Primero,Salamanca,106
2013,Primero,Segovia,51
2013,Primero,Soria,23
2013,Primero,Valladolid,239
2013,Primero,Zamora,77
2013,Primero,Albacete,168
2013,Primero,Ciudad Real,300
2013,Primero,Cuenca,90
2013,Primero,Guadalajara,156
2013,Primero,Toledo,287
2013,Primero,Barcelona,2870
2013,Primero,Girona,434
2013,Primero,Lleida,215
2013,Primero,Tarragona,528
2013,Primero,Alicante/Alacant,1623
