Año,Trimestre,Provincia,Numero_ordenes
2010,Segundo,Sevilla,481
2010,Segundo,Huesca,19
2010,Segundo,Teruel,15
2010,Segundo,Zaragoza,133
2010,Segundo,Asturias,208
2010,Segundo,Illes Balears,424
2010,Segundo,Las Palmas,400
2010,Segundo,Santa Cruz de Tenerife,269
2010,Segundo,Cantabria,77
2010,Segundo,Ávila,28
2010,Segundo,Burgos,51
2010,Segundo,León,83
2010,Segundo,Palencia,22
2010,Segundo,Salamanca,23
2010,Segundo,Segovia,27
2010,Segundo,Soria,20
2010,Segundo,Valladolid,100
2010,Segundo,Zamora,14
2010,Segundo,Albacete,72
2010,Segundo,Ciudad Real,108
2010,Segundo,Cuenca,24
2010,Segundo,Guadalajara,93
2010,Segundo,Toledo,234
2010,Segundo,Barcelona,1071
2010,Segundo,Girona,188
2010,Segundo,Lleida,73
2010,Segundo,Tarragona,238
2010,Segundo,Alicante/Alacant,588
2010,Segundo,Castellón/Castelló,109
2010,Segundo,Valencia/València,525
2010,Segundo,Badajoz,161
2010,Segundo,Cáceres,58
2010,Segundo,A Coruña,83
2010,Segundo,Lugo,50
2010,Segundo,Ourense,78
2010,Segundo,Pontevedra,140
2010,Segundo,Madrid,1582
2010,Segundo,Murcia,499
2010,Segundo,Navarra,82
2010,Segundo,Araba/Álava,34
2010,Segundo,Gipuzkoa,73
2010,Segundo,Bizkaia,124
2010,Segundo,La Rioja,63
2010,Segundo,Ceuta,14
2010,Segundo,Melilla,1
2010,Tercero,Almería,93
2010,Tercero,Cádiz,279
2010,Tercero,Córdoba,105
2010,Tercero,Granada,106
2010,Tercero,Huelva,165
2010,Tercero,Jaén,117
2010,Tercero,Málaga,287
2010,Tercero,Sevilla,460
2010,Tercero,Huesca,25
2010,Tercero,Teruel,13
2010,Tercero,Zaragoza,119
2010,Tercero,Asturias,207
2010,Tercero,Illes Balears,363
2010,Tercero,Las Palmas,310
2010,Tercero,Santa Cruz de Tenerife,327
2010,Tercero,Cantabria,88
2010,Tercero,Ávila,25
2010,Tercero,Burgos,66
2010,Tercero,León,111
2010,Tercero,Palencia,16
2010,Tercero,Salamanca,20
2010,Tercero,Segovia,36
2010,Tercero,Soria,21
2010,Tercero,Valladolid,122
2010,Tercero,Zamora,12
2010,Tercero,Albacete,76
2010,Tercero,Ciudad Real,125
2010,Tercero,Cuenca,31
2010,Tercero,Guadalajara,86
2010,Tercero,Toledo,166
2010,Tercero,Barcelona,1116
2010,Tercero,Girona,257
2010,Tercero,Lleida,70
2010,Tercero,Tarragona,276
2010,Tercero,Alicante/Alacant,692
2010,Tercero,Castellón/Castelló,149
2010,Tercero,Valencia/València,475
2010,Tercero,Badajoz,144
2010,Tercero,Cáceres,58
2010,Tercero,A Coruña,134
2010,Tercero,Lugo,57
2010,Tercero,Ourense,40
2010,Tercero,Pontevedra,119
2010,Tercero,Madrid,1570
2010,Tercero,Murcia,576
2010,Tercero,Navarra,87
2010,Tercero,Araba/Álava,65
2010,Tercero,Gipuzkoa,88
2010,Tercero,Bizkaia,128
2010,Tercero,La Rioja,80
2010,Tercero,Ceuta,17
2010,Tercero,Melilla,0
2010,Cuarto,Almería,62
2010,Cuarto,Cádiz,263
2010,Cuarto,Córdoba,90
2010,Cuarto,Granada,87
2010,Cuarto,Huelva,141
2010,Cuarto,Jaén,83
2010,Cuarto,Málaga,258
2010,Cuarto,Sevilla,382
2010,Cuarto,Huesca,13
2010,Cuarto,Teruel,11
2010,Cuarto,Zaragoza,101
2010,Cuarto,Asturias,204
2010,Cuarto,Illes Balears,215
2010,Cuarto,Las Palmas,333
2010,Cuarto,Santa Cruz de Tenerife,301
2010,Cuarto,Cantabria,80
2010,Cuarto,Ávila,29
2010,Cuarto,Burgos,50
2010,Cuarto,León,104
2010,Cuarto,Palencia,15
2010,Cuarto,Salamanca,17
2010,Cuarto,Segovia,12
2010,Cuarto,Soria,23
2010,Cuarto,Valladolid,160
2010,Cuarto,Zamora,25
2010,Cuarto,Albacete,70
2010,Cuarto,Ciudad Real,125
2010,Cuarto,Cuenca,35
2010,Cuarto,Guadalajara,52
2010,Cuarto,Toledo,204
2010,Cuarto,Barcelona,885
2010,Cuarto,Girona,189
2010,Cuarto,Lleida,70
2010,Cuarto,Tarragona,197
2010,Cuarto,Alicante/Alacant,455
2010,Cuarto,Castellón/Castelló,140
2010,Cuarto,Valencia/València,465
2010,Cuarto,Badajoz,111
2010,Cuarto,Cáceres,54
2010,Cuarto,A Coruña,81
2010,Cuarto,Lugo,47
2010,Cuarto,Ourense,50
2010,Cuarto,Pontevedra,143
2010,Cuarto,Madrid,1374
2010,Cuarto,Murcia,392
2010,Cuarto,Navarra,69
2010,Cuarto,Araba/Álava,56
2010,Cuarto,Gipuzkoa,77
2010,Cuarto,Bizkaia,151
2010,Cuarto,La Rioja,68
2010,Cuarto,Ceuta,24
2010,Cuarto,Melilla,0
2011,Primero,Almería,74
2011,Primero,Cádiz,224
2011,Primero,Córdoba,101
2011,Primero,Granada,107
2011,Primero,Huelva,110
2011,Primero,Jaén,86
2011,Primero,Málaga,313
2011,Primero,Sevilla,450
2011,Primero,Huesca,25
2011,Primero,Teruel,13
2011,Primero,Zaragoza,127
2011,Primero,Asturias,169
2011,Primero,Illes Balears,213
2011,Primero,Las Palmas,269
2011,Primero,Santa Cruz de Tenerife,293
2011,Primero,Cantabria,82
2011,Primero,Ávila,28
2011,Primero,Burgos,60
2011,Primero,León,105
2011,Primero,Palencia,24
2011,Primero,Salamanca,27
2011,Primero,Segovia,18
2011,Primero,Soria,26
2011,Primero,Valladolid,96
2011,Primero,Zamora,17
2011,Primero,Albacete,74
2011,Primero,Ciudad Real,87
2011,Primero,Cuenca,33
2011,Primero,Guadalajara,93
2011,Primero,Toledo,166
2011,Primero,Barcelona,878
2011,Primero,Girona,176
2011,Primero,Lleida,65
2011,Primero,Tarragona,216
2011,Primero,Alicante/Alacant,580
2011,Primero,Castellón/Castelló,128
2011,Primero,Valencia/València,414
2011,Primero,Badajoz,162
2011,Primero,Cáceres,50
2011,Primero,A Coruña,84
2011,Primero,Lugo,49
2011,Primero,Ourense,30
2011,Primero,Pontevedra,123
2011,Primero,Madrid,1445
2011,Primero,Murcia,493
