"Año","Mes","Provincia","Tramo de edad Víctima","Tramo de edad Agresor","Número de mujeres víctimas mortales"
"Año 2005","Enero","Huesca","71-84 años","No consta","1.0"
"Año 2005","Enero","Illes Balears","21-30 años","21-30 años","1.0"
"Año 2005","Enero","Toledo","51-60 años","51-60 años","1.0"
"Año 2005","Enero","Murcia","41-50 años","No consta","1.0"
"Año 2005","Enero","Bizkaia","31-40 años","No consta","1.0"
"Año 2005","Febrero","Córdoba","21-30 años","21-30 años","1.0"
"Año 2005","Febrero","Granada","71-84 años","71-84 años","1.0"
"Año 2005","Febrero","Alicante/Alacant","21-30 años","21-30 años","1.0"
"Año 2005","Febrero","Murcia","31-40 años","No consta","1.0"
"Año 2005","Febrero","Navarra","21-30 años","21-30 años","1.0"
"Año 2005","Marzo","Almería","18-20 años","21-30 años","1.0"
"Año 2005","Marzo","Illes Balears","61-70 años","61-70 años","1.0"
"Año 2005","Marzo","Madrid","No consta","No consta","1.0"
"Año 2005","Abril","Málaga","21-30 años","21-30 años","1.0"
"Año 2005","Abril","Las Palmas","21-30 años","31-40 años","1.0"
"Año 2005","Abril","Burgos","31-40 años","No consta","1.0"
"Año 2005","Abril","Barcelona","51-60 años","No consta","1.0"
"Año 2005","Abril","Alicante/Alacant","31-40 años","31-40 años","1.0"
"Año 2005","Mayo","Zaragoza","61-70 años","No consta","1.0"
"Año 2005","Mayo","Santa Cruz de Tenerife","41-50 años","41-50 años","1.0"
"Año 2005","Mayo","León","21-30 años","No consta","1.0"
"Año 2005","Mayo","Barcelona","21-30 años","31-40 años","1.0"
"Año 2005","Junio","Santa Cruz de Tenerife","41-50 años","41-50 años","1.0"
"Año 2005","Junio","Ciudad Real","71-84 años","71-84 años","1.0"
"Año 2005","Junio","Barcelona","41-50 años","51-60 años","1.0"
"Año 2005","Junio","Valencia/València","61-70 años","No consta","1.0"
"Año 2005","Junio","Madrid","31-40 años","31-40 años","1.0"
"Año 2005","Junio","Navarra","31-40 años","31-40 años","1.0"
"Año 2005","Julio","Zaragoza","61-70 años","61-70 años","1.0"
"Año 2005","Julio","Girona","51-60 años","No consta","1.0"
"Año 2005","Julio","Madrid","31-40 años","21-30 años","1.0"
"Año 2005","Julio","Madrid","31-40 años","31-40 años","1.0"
"Año 2005","Agosto","Asturias","21-30 años","21-30 años","1.0"
"Año 2005","Agosto","Illes Balears","41-50 años","31-40 años","1.0"
"Año 2005","Agosto","Illes Balears","41-50 años","41-50 años","1.0"
"Año 2005","Agosto","León","31-40 años","41-50 años","1.0"
"Año 2005","Agosto","Alicante/Alacant","No consta","No consta","1.0"
"Año 2005","Agosto","Valencia/València","21-30 años","21-30 años","1.0"
"Año 2005","Septiembre","Almería","18-20 años","No consta","1.0"
"Año 2005","Septiembre","Sevilla","71-84 años","71-84 años","1.0"
"Año 2005","Septiembre","Las Palmas","31-40 años","41-50 años","1.0"
"Año 2005","Septiembre","Ávila","16-17 años","31-40 años","1.0"
"Año 2005","Octubre","Las Palmas","18-20 años","21-30 años","1.0"
"Año 2005","Octubre","Lleida","41-50 años","51-60 años","1.0"
"Año 2005","Octubre","Tarragona","41-50 años","41-50 años","1.0"
"Año 2005","Octubre","Bizkaia","21-30 años","21-30 años","1.0"
"Año 2005","Octubre","Bizkaia","31-40 años","41-50 años","1.0"
"Año 2005","Noviembre","Zaragoza","71-84 años","No consta","1.0"
"Año 2005","Noviembre","Las Palmas","41-50 años","41-50 años","1.0"
"Año 2005","Noviembre","Girona","21-30 años","No consta","1.0"
"Año 2005","Noviembre","Tarragona","41-50 años","No consta","1.0"
"Año 2005","Noviembre","Alicante/Alacant","31-40 años","41-50 años","1.0"
"Año 2005","Noviembre","Pontevedra","71-84 años","61-70 años","1.0"
"Año 2005","Diciembre","Málaga","31-40 años","No consta","1.0"
"Año 2005","Diciembre","Sevilla","18-20 años","21-30 años","1.0"
"Año 2005","Diciembre","Melilla","31-40 años","41-50 años","1.0"
"Año 2006","Enero","Cádiz","41-50 años","31-40 años","1.0"
